        Cat,Maker,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
3W,VANI ELECTRIC VEHICLES PVT LTD,0,0,211,1996,3217,3083,3924,5969,7832,4577
3W,VEANCO AUTOMOTIVES PVT LTD,0,0,0,0,0,0,1,6,11,3
LMV,VEANCO AUTOMOTIVES PVT LTD,0,0,0,0,0,0,1,0,0,0
MMV,VEERA VAHANA UDYOG PRIVATE LIMITED,0,0,0,0,0,0,0,0,1,8
3W,VENUS AUTO INDUSTRIES         ,0,2,3,0,0,0,0,0,0,0
3W,VENUS AUTO WHEELS PVT LTD,0,1,282,329,306,212,329,398,574,204
3W,VGLAN BUILDCON PRIVATE LIMITED,0,4,10,8,39,1,27,0,0,0
3W,VGLAN BUILDCON PVT LTD,4,4,8,4,0,0,0,0,0,0
LMV,VGLAN BUILDCON PVT LTD,0,0,13,15,0,0,0,0,0,0
3W,VICTOR AGRO INDUSTRIES,0,49,79,7,0,0,0,0,0,0
LMV,VICTOR AGRO INDUSTRIES,2,0,0,0,0,0,0,0,0,0
3W,VIJAYA ELECTRIC AUTO PVT LTD,0,0,0,0,0,0,35,193,256,138
3W,VIJAYS COOLMAX PRIVATE LIMITED,0,0,0,0,0,0,26,1355,4807,3091
3W,VIMAL UNIVERSAL TRADE PVT LTD,0,0,0,74,183,74,130,407,831,704
LMV,VINAYAK INDUSTRIES,0,0,11,0,0,0,0,0,0,0
3W,VISHALA E-VEHICLES INDUSTRIES PRIVATE LIMITED,0,0,0,0,0,0,0,1,92,22
3W,VITAN JAGADA AUTOMOBILE PVT LTD,0,0,0,0,0,0,0,2,3,2
3W,VOLKSWAGEN INDIA PVT LTD,1,1,1,0,0,0,0,0,0,0
LMV,VOLKSWAGEN INDIA PVT LTD,0,2,1,0,0,0,0,0,0,0
3W,VOLMAC ENGINEERING PVT LTD,0,3,26,30,16,2,0,0,0,0
3W,VOLTAIC INDUSTRIES PVT LTD,0,0,0,21,5,6,0,0,0,0
LMV,VOLVO AUTO INDIA PVT LTD,0,0,0,0,0,0,0,35,570,317
3W,VORC MOTORS PVT LTD,0,0,0,0,0,0,0,0,0,3
3W,VSL INDUSTRIES,0,0,0,0,0,0,44,7,0,1
3W,VVA AUTO INDUSTRIES PVT LTD,2,77,22,5,0,1,0,0,0,0
2W,WARIVO MOTOR INDIA PVT LTD,0,0,0,0,0,0,0,0,1,23
3W,WASAN E-MOBILITY SOLUTIONS PVT LTD,0,0,0,0,0,0,0,13,80,20
3W,WELKIN HEALTHCARE PVT LTD,0,0,0,25,67,68,22,114,30,29
2W,WHITE CARBON MOTORS PVT LTD,0,0,0,0,0,0,21,82,42,20
MMV,WIRTGEN INDIA PVT LTD,1,0,0,0,0,0,0,0,0,0
3W,WOX COOLERS PVT LTD,0,0,26,61,17,0,0,1,2,2
2W,WUXI TENGHUI (IMPORTER: FEZORA INDIA),0,0,0,0,0,0,0,0,35,16
2W,WUXI TENGHUI (IMPORTER: FRANKLIN EV INDIA),0,0,0,0,0,0,0,0,22,10
3W,XPLORE AUTOMOTIVE PVT LTD,0,42,62,3,0,0,0,0,0,0
3W,XXPLORE AUTOMATIVE PVT LTD,0,31,49,15,11,1,1,12,2,0
3W,YAARI AUTOMOBILES PVT LTD,0,0,0,0,29,88,58,1,3,79
2W,YANGGUANG LINGMU (IMPORTER: ECOINDIA),0,0,0,0,0,0,0,0,4,1
3W,YC ELECTRIC VEHICLE PVT LTD,0,0,30,14,24,8,1,0,0,0
2W,YOUYAKU ELECTRIC (IMPORTER:IME VEHICLES PVT LTD),0,0,0,0,0,0,0,0,218,232
2W,YOUYAKU ELECTRIC (IMPORTER:KRISHIKA EV INDIA),0,0,0,0,0,0,0,0,0,23
2W,ZAP (IMPORTER:ELLYSIUM AUTOMOTIVES PVT LTD),0,0,0,0,0,0,0,0,32,7
3W,ZBEE INDIA PVT LTD,0,0,0,16,2,2,1,0,0,0
3W,ZENIAK INNOVATION INDIA LTD,0,10,605,789,1621,1281,931,1561,2836,2626
LMV,ZENIAK INNOVATION INDIA LTD,0,0,0,0,0,0,0,1,0,0
3W,ZENTHIUM EV PVT LTD,0,0,0,0,0,0,118,223,718,612
3W,ZEOPLUS AXIS INDIA PVT. LTD.,0,0,0,0,0,0,0,382,3563,3578
3W,ZERO 21 RENEWABLE ENERGY SOLUTIONS PVT LTD,0,0,0,0,0,0,0,3,11,55
3W,ZESAR MOTORS PVT LTD,0,0,4,12,12,8,15,23,37,19
2W,ZHONGHUALONG (IMPORTER: POWORO PVT LTD),0,0,0,0,0,0,0,0,0,54
2W,ZHONGHUALONG (IMPORTER: POWORO PVT LTD),0,0,0,0,0,0,0,0,0,54
